Source,Target,Weight
artificial,intelligence,232
ai,ethics,141
big,data,88
machine,learning,70
ai,systems,62
university,press,58
surveillance,culture,51
ethics,ai,50
public,administration,49
ethical,principles,48
use,ai,47
social,media,43
ai,assistants,39
ethical,ai,39
ai,society,37
ethics,ethics,37
ai,assistance,35
ai,principles,34
information,technology,33
ethics,guidelines,32
good,ai,32
cyber,ethics,31
available,accessed,31
information,ethics,31
intelligent,systems,30
private,sector,30
ethical,machines,30
web,search,30
homosexualité,révolution,29
data,protection,29
ethical,framework,28
virtue,ethics,27
digital,ethics,27
ethical,dilemmas,26
ethically,aligned,26
principles,ai,26
machine,ethics,25
ethical,problems,25
ethics,information,25
ethical,issues,24
autonomous,intelligent,24
intelligence,ai,23
health,care,23
international,journal,23
decision,making,22
ethics,bots,22
aligned,design,22
autonomous,systems,21
volume,issue,21
guest,february,21
ai,technologies,21
approach,ai,21
journal,communication,20
ethics,artificial,20
ethical,guidelines,20
principled,approach,20
applied,ethics,20
ai,development,20
ai,research,20
ethical,decision,20
ai,report,20
smart,instruments,20
public,sector,19
ethical,concerns,19
ethical,challenges,19
right,wrong,19
accessed,st,19
united,states,18
new,technologies,18
personal,data,18
ethics,autonomous,18
medical,ethics,18
ethics,digital,18
ethical,agents,17
human,rights,17
oxford,university,17
use,ict,17
code,ethics,17
explicitly,ethical,16
london,uk,16
ethical,implications,16
framework,good,16
retrieved,http,16
digital,age,16
governance,digital,15
van,den,15
healthcare,systems,15
digital,health,15
driverless,cars,15
st,february,15
everyday,life,14
taddeo,floridi,14
personal,ai,14
anderson,anderson,14
administration,review,14
digital,governance,14
literacy,volume,14
special,issue,14
issue,page,14
research,development,14
soft,ethics,14
daniel,guérin,14
american,review,14
responsible,ai,14
ethics,cyber,14
den,hoven,13
principles,practice,13
data,big,13
information,society,13
global,initiative,13
future,life,13
moral,responsibility,13
partnership,ai,13
starting,point,13
review,public,13
data,collection,13
ai,ai,13
science,technology,13
development,ai,13
ethics,science,12
mit,press,12
ethics,evaluation,12
cambridge,university,12
human,beings,12
evaluation,guidelines,12
principles,ethical,12
ethics,bot,12
ai,assistant,12
life,institute,12
concerns,ethics,12
intelligence,ethics,12
moral,values,12
ai,practitioners,12
company,self,12
ai,health,12
field,ai,12
commercial,paradigm,11
university,oxford,11
